Day;Date;HomeTeam;AwayTeam;FTR;MaxH;MaxD;MaxA;AvgH;AvgD;AvgA
J6;18/10/2020;St Etienne;Nice;A;2.43;3.5;3.35;2.34;3.25;3.16
J6;18/10/2020;Lille;Lens;H;1.97;3.78;4.5;1.87;3.55;4.26
J7;23/10/2020;Rennes;Angers;A;2.15;3.5;04.07;02.07;3.3;3.8
J7;24/10/2020;Lorient;Marseille;A;3.11;3.46;2.57;2.96;3.26;2.46
J7;24/10/2020;Paris SG;Dijon;H;01.07;21;49;01.05;15.05;34.44
J7;25/10/2020;Bordeaux;Nimes;H;02.03;3.68;4.2;1.95;3.49;3.98
J7;25/10/2020;Brest;Strasbourg;A;2.31;3.88;3.22;2.23;3.59;03.09
J7;25/10/2020;Metz;St Etienne;H;2.48;3.5;3.2;2.38;3.3;03.06
J7;25/10/2020;Montpellier;Reims;A;2.17;3.5;4.2;02.08;3.28;3.72
J7;25/10/2020;Nice;Lille;D;3.54;3.56;2.34;3.33;3.36;2.21
J7;25/10/2020;Lyon;Monaco;H;1.77;4.6;4.9;1.68;4.22;4.57
J8;31/10/2020;Rennes;Brest;H;02.06;3.82;04.03;1.99;3.6;3.69
J8;31/10/2020;Nantes;Paris SG;A;8.4;5.25;1.47;7.27;4.92;1.41
J8;01/11/2020;St Etienne;Montpellier;A;2.47;3.64;03.06;2.4;3.43;2.92
J8;01/11/2020;Angers;Nice;A;2.31;3.46;3.47;2.25;3.32;3.29
J8;01/11/2020;Dijon;Lorient;D;3.26;3.6;2.37;3.14;3.45;2.27
J8;01/11/2020;Nimes;Metz;A;2.63;3.4;03.07;2.49;3.26;2.93
J8;01/11/2020;Reims;Strasbourg;H;2.43;3.48;3.25;2.34;3.3;3.12
J8;01/11/2020;Monaco;Bordeaux;H;1.97;4;4.2;1.91;3.76;3.88
J8;01/11/2020;Lille;Lyon;D;2.85;3.48;2.75;2.74;3.28;2.64
J9;06/11/2020;Strasbourg;Marseille;A;3.25;3.3;2.64;03.04;3.16;2.48
J9;07/11/2020;Bordeaux;Montpellier;A;2.5;3.48;3.35;2.36;3.3;03.07
J9;07/11/2020;Paris SG;Rennes;H;1.48;5.4;7.8;1.42;4.95;6.94
J9;08/11/2020;Brest;Lille;H;3.98;3.72;2.12;3.66;3.53;02.02
J9;08/11/2020;Lens;Reims;D;2.22;3.44;3.8;2.14;3.27;3.61
J9;08/11/2020;Lorient;Nantes;A;2.55;3.4;3.15;2.42;3.2;03.04
J9;08/11/2020;Metz;Dijon;D;1.83;3.86;05.01;1.76;3.65;4.78
J9;08/11/2020;Nimes;Angers;A;3.15;3.4;2.63;03.01;3.24;2.43
J9;08/11/2020;Nice;Monaco;A;3.38;3.85;2.25;3.16;3.67;2.17
J9;08/11/2020;Lyon;St Etienne;H;1.41;5.75;8.75;1.37;5.12;08.09
J10;20/11/2020;Rennes;Bordeaux;A;1.87;3.68;5.35;1.81;3.48;4.78
J10;20/11/2020;Monaco;Paris SG;H;5.95;5.3;1.63;5.28;4.89;1.53
J10;21/11/2020;Brest;St Etienne;H;2.25;3.8;3.52;2.15;3.55;3.27
J10;22/11/2020;Nantes;Metz;D;2.33;3.34;3.55;2.25;3.2;3.39
J10;22/11/2020;Dijon;Lens;A;3.6;3.72;2.23;3.41;3.43;2.14
J10;22/11/2020;Montpellier;Strasbourg;H;2.16;3.6;3.74;02.09;3.44;3.54
J10;22/11/2020;Reims;Nimes;A;02.02;3.8;4.5;1.9;3.58;04.08
J10;22/11/2020;Angers;Lyon;A;5.35;4.31;1.7;4.98;04.09;1.65
J10;22/11/2020;Lille;Lorient;H;1.65;4.14;7;1.59;3.91;5.97
J11;25/11/2020;Lens;Nantes;D;02.05;3.65;4.1;1.98;3.48;3.88
J11;27/11/2020;Strasbourg;Rennes;D;3.24;3.32;2.54;3.11;3.22;2.41
J11;28/11/2020;Marseille;Nantes;H;2.19;3.51;4;2.11;3.3;3.64
J11;28/11/2020;Paris SG;Bordeaux;D;1.23;8.5;18;1.18;7.59;14.25
J11;29/11/2020;Lyon;Reims;H;1.43;5.5;8.5;1.39;05.01;7.5
J11;29/11/2020;Lens;Angers;A;2.23;3.56;3.71;2.13;3.35;3.52
J11;29/11/2020;Lorient;Montpellier;A;3.47;3.64;2.31;3.31;3.42;2.18
J11;29/11/2020;Metz;Brest;A;2.36;3.52;3.34;2.28;3.32;3.19
J11;29/11/2020;Monaco;Nimes;H;1.43;5.75;9;1.37;5.16;7.83
J11;29/11/2020;Nice;Dijon;A;1.94;3.84;4.65;1.82;3.65;4.36
J11;29/11/2020;St Etienne;Lille;D;5.15;3.92;1.81;4.8;3.72;1.74
J12;04/12/2020;Nimes;Marseille;A;5.5;4;1.78;05.08;3.79;1.7
J12;05/12/2020;Rennes;Lens;A;2.12;3.64;3.83;02.07;3.45;3.6
J12;05/12/2020;Montpellier;Paris SG;A;7.2;5;1.5;6.58;4.74;1.45
J12;06/12/2020;Lille;Monaco;H;2.58;3.75;03.04;2.36;3.54;2.9
J12;06/12/2020;Angers;Lorient;H;1.95;3.83;4.42;1.87;3.61;4.14
J12;06/12/2020;Bordeaux;Brest;H;2.19;3.64;3.65;2.12;3.42;3.48
J12;06/12/2020;Dijon;St Etienne;D;03.08;3.62;2.51;2.94;3.42;2.38
J12;06/12/2020;Nantes;Strasbourg;A;2.26;3.67;3.51;2.17;3.44;3.33
J12;06/12/2020;Reims;Nice;D;2.59;3.56;2.95;2.51;3.36;2.81
J12;06/12/2020;Metz;Lyon;A;6;4.56;1.64;5.51;4.25;1.58
J13;11/12/2020;St Etienne;Angers;D;2.53;3.5;03.09;2.43;3.34;2.97
J13;12/12/2020;Marseille;Monaco;H;2.92;3.7;2.61;2.8;3.48;2.44
J13;12/12/2020;Lens;Montpellier;A;2.64;3.42;2.97;2.54;3.24;2.85
J13;13/12/2020;Nice;Rennes;A;03.08;3.5;2.49;2.96;3.31;2.41
J13;13/12/2020;Brest;Reims;H;2.37;3.55;3.3;2.26;3.37;3.19
J13;13/12/2020;Lorient;Nimes;H;2.26;3.56;3.5;2.18;3.38;3.35
J13;13/12/2020;Nantes;Dijon;D;1.82;04.08;5;1.75;3.8;4.59
J13;13/12/2020;Strasbourg;Metz;D;02.08;3.56;04.09;02.01;3.38;3.85
J13;13/12/2020;Lille;Bordeaux;H;1.79;3.78;5.75;1.73;3.54;5.15
J13;13/12/2020;Paris SG;Lyon;A;1.66;4.9;5.15;1.61;4.57;4.77
J14;16/12/2020;Angers;Strasbourg;A;2.29;3.52;3.5;2.22;3.37;3.26
J14;16/12/2020;Dijon;Lille;A;6.7;4.33;1.6;6.2;4.1;1.54
J14;16/12/2020;Montpellier;Metz;A;1.76;4;5.5;1.69;3.77;05.08
J14;16/12/2020;Nimes;Nice;A;3.47;3.64;2.24;3.32;3.46;2.16
J14;16/12/2020;Reims;Nantes;H;2.54;3.36;3.2;2.41;3.21;03.04
J14;16/12/2020;Bordeaux;St Etienne;A;2.28;3.53;3.6;2.22;3.3;3.34
J14;16/12/2020;Lyon;Brest;D;1.39;06.03;9.5;1.33;5.5;8.32
J14;16/12/2020;Monaco;Lens;A;1.73;4.36;5.25;1.67;4.12;4.77
J14;16/12/2020;Paris SG;Lorient;H;1.17;9.6;22;1.14;8.43;17.39
J14;16/12/2020;Rennes;Marseille;H;2.6;3.44;03.08;2.5;3.24;2.92
J15;19/12/2020;Metz;Lens;H;3.21;3.44;2.55;03.03;3.27;2.4
J15;19/12/2020;Marseille;Reims;D;1.83;3.82;5.22;1.77;3.59;4.77
J15;19/12/2020;Nice;Lyon;A;6.5;4.5;1.64;5.5;4.21;1.58
J15;20/12/2020;Brest;Montpellier;D;3.13;3.68;2.4;2.99;3.46;2.33
