Day;Date;HomeTeam;AwayTeam;FTR;MaxH;MaxD;MaxA;AvgH;AvgD;AvgA
J30;03/04/2021;Monaco;Metz;H;1.5;5.25;7.5;1.45;4.57;6.91
J30;03/04/2021;Paris SG;Lille;A;1.74;4;5.7;1.68;3.79;5.24
J30;03/04/2021;Lens;Lyon;D;4.35;4.1;1.9;04.06;3.9;1.83
J30;04/04/2021;Angers;Montpellier;D;2.77;3.42;2.92;2.61;3.26;2.77
J30;04/04/2021;Bordeaux;Strasbourg;A;2.94;3.34;2.75;2.81;3.1;2.67
J30;04/04/2021;Lorient;Brest;H;2.48;3.65;03.08;2.39;3.43;2.91
J30;04/04/2021;Nantes;Nice;A;2.6;3.5;3;2.48;3.31;2.87
J30;04/04/2021;Reims;Rennes;D;3.82;3.43;2.25;3.65;3.18;2.16
J30;04/04/2021;Nimes;St Etienne;A;3.4;3.56;2.35;3.26;3.37;2.23
J30;04/04/2021;Marseille;Dijon;H;1.56;4.61;8.25;1.49;4.28;6.84
J31;09/04/2021;Metz;Lille;A;6.8;3.79;1.7;6.2;3.62;1.64
J31;10/04/2021;Strasbourg;Paris SG;A;4.65;4.19;1.8;4.43;3.96;1.75
J31;10/04/2021;Montpellier;Marseille;D;2.71;3.58;2.82;2.6;3.37;2.72
J31;11/04/2021;Rennes;Nantes;H;1.9;3.82;4.84;1.81;3.58;4.55
J31;11/04/2021;Brest;Nimes;D;2.12;3.77;3.7;02.03;3.62;3.54
J31;11/04/2021;Lens;Lorient;H;2.13;3.68;3.96;02.03;3.51;3.68
J31;11/04/2021;Nice;Reims;D;2.4;3.35;3.74;2.27;3.17;3.41
J31;11/04/2021;St Etienne;Bordeaux;H;2.47;3.24;3.61;2.36;03.02;3.37
J31;11/04/2021;Monaco;Dijon;H;1.22;7.75;17;1.19;7.16;14.51
J31;11/04/2021;Lyon;Angers;H;1.44;5.25;8.5;1.39;4.98;7.77
J32;16/04/2021;Lille;Montpellier;D;1.7;04.05;6;1.64;3.9;5.55
J32;17/04/2021;Angers;Rennes;A;3.78;3.38;2.29;3.56;3.23;2.17
J32;17/04/2021;Marseille;Lorient;H;2.19;3.66;3.8;02.09;3.43;3.57
J32;18/04/2021;Paris SG;St Etienne;H;1.36;5.79;10.5;1.31;5.51;9.39
J32;18/04/2021;Brest;Lens;D;2.95;3.41;2.67;2.83;3.28;2.56
J32;18/04/2021;Dijon;Nice;H;4.9;04.04;1.83;4.5;3.83;1.76
J32;18/04/2021;Nimes;Strasbourg;D;3.79;3.71;2.15;3.5;3.53;02.08
J32;18/04/2021;Reims;Metz;D;2.52;3.27;3.36;2.43;03.08;3.19
J32;18/04/2021;Bordeaux;Monaco;A;5.85;4.14;1.72;5.32;3.91;1.65
J32;18/04/2021;Nantes;Lyon;A;6.75;4.54;1.6;5.89;4.3;1.54
J33;23/04/2021;Reims;Marseille;A;3.8;3.64;2.15;3.67;3.4;02.06
J33;24/04/2021;St Etienne;Brest;A;2.14;3.66;3.8;02.07;3.49;3.57
J33;24/04/2021;Metz;Paris SG;A;12;5.92;1.34;10.54;5.43;1.29
J33;25/04/2021;Nice;Montpellier;H;2.88;3.52;2.69;2.72;3.36;2.59
J33;25/04/2021;Lens;Nimes;H;1.8;04.02;5.5;1.73;3.68;5
J33;25/04/2021;Lorient;Bordeaux;H;2.19;3.65;3.69;2.11;3.46;3.48
J33;25/04/2021;Rennes;Dijon;H;1.39;5.5;10.22;1.34;5.14;9.22
J33;25/04/2021;Strasbourg;Nantes;A;2.25;3.53;3.62;2.18;3.33;3.44
J33;25/04/2021;Angers;Monaco;A;7;4.91;1.54;6.29;4.51;1.49
J33;25/04/2021;Lyon;Lille;A;2.23;3.63;3.82;02.08;3.45;3.59
J34;30/04/2021;Marseille;Strasbourg;D;1.93;3.8;4.35;1.87;3.64;4.19
J34;01/05/2021;Paris SG;Lens;H;1.38;5.85;9.4;1.34;5.49;8.19
J34;01/05/2021;Lille;Nice;H;1.48;4.78;8.8;1.42;4.6;7.84
J34;02/05/2021;Bordeaux;Rennes;H;4.84;4;1.83;4.58;3.81;1.76
J34;02/05/2021;Brest;Nantes;A;2.81;3.53;2.71;2.69;3.38;2.62
J34;02/05/2021;Dijon;Metz;A;3.91;3.56;2.15;3.72;3.31;02.09
J34;02/05/2021;Lorient;Angers;H;1.98;3.81;4.55;1.87;3.6;4.26
J34;02/05/2021;Nimes;Reims;D;2.32;3.5;3.55;2.24;3.36;3.26
J34;02/05/2021;Montpellier;St Etienne;A;2.52;3.49;3.1;2.42;3.34;2.96
J34;02/05/2021;Monaco;Lyon;A;2.41;3.75;3.15;2.3;3.58;2.99
J35;07/05/2021;Lens;Lille;A;4.6;3.57;1.99;4.18;3.45;1.94
J35;08/05/2021;Nantes;Bordeaux;H;2.1;3.58;04.05;02.03;3.41;3.79
J35;08/05/2021;Lyon;Lorient;H;1.45;5.4;7.85;1.4;5.11;7.11
J35;09/05/2021;St Etienne;Marseille;H;3.54;3.85;2.21;3.29;3.62;2.14
J35;09/05/2021;Angers;Dijon;H;1.9;3.82;4.64;1.84;3.6;4.37
J35;09/05/2021;Metz;Nimes;A;2.94;3.63;2.56;2.81;3.44;2.49
J35;09/05/2021;Nice;Brest;H;2.53;3.5;3.2;2.4;3.37;2.97
J35;09/05/2021;Strasbourg;Montpellier;A;1.75;4.6;4.75;1.69;4.28;4.45
J35;09/05/2021;Reims;Monaco;A;9.5;05.01;1.45;8.12;4.73;1.4
J35;09/05/2021;Rennes;Paris SG;D;6;4.33;1.7;5.13;4.1;1.64
J36;16/05/2021;Bordeaux;Lens;H;3.78;3.76;2.12;3.62;3.61;02.02
J36;16/05/2021;Dijon;Nantes;A;9.1;4.9;1.45;8.25;4.66;1.4
J36;16/05/2021;Lille;St Etienne;D;1.42;5.1;11;1.36;4.84;9.35
J36;16/05/2021;Lorient;Metz;H;1.68;4.18;06.06;1.62;3.97;5.56
J36;16/05/2021;Marseille;Angers;H;1.54;4.6;8;1.48;4.34;6.94
J36;16/05/2021;Monaco;Rennes;H;1.74;4.1;5.55;1.69;3.92;4.94
J36;16/05/2021;Montpellier;Brest;D;2.42;4;2.99;2.32;3.79;2.82
J36;16/05/2021;Nice;Strasbourg;A;3.61;3.78;2.21;3.48;3.61;02.06
J36;16/05/2021;Nimes;Lyon;A;8.25;5.7;1.41;7.54;5.38;1.37
J36;16/05/2021;Paris SG;Reims;H;1.14;11;33.44;1.11;9.78;22.15
J37;23/05/2021;Angers;Lille;A;11;5.25;1.41;9.66;4.92;1.35
J37;23/05/2021;Brest;Paris SG;A;13;07.08;1.29;10.59;6.52;1.25
J37;23/05/2021;Lens;Monaco;D;5.55;4.55;1.67;05.04;4.28;1.62
J37;23/05/2021;Lyon;Nice;A;1.25;7.8;15.16;1.21;07.08;12.69
J37;23/05/2021;Metz;Marseille;D;3.63;3.82;2.2;3.44;3.54;2.1
J37;23/05/2021;Nantes;Montpellier;A;1.57;5;7;1.5;4.67;06.01
J37;23/05/2021;Reims;Bordeaux;A;2.65;3.1;3.4;2.54;2.89;3.22
J37;23/05/2021;Rennes;Nimes;H;1.36;6.2;9.7;1.32;5.64;8.78
J37;23/05/2021;St Etienne;Dijon;A;1.33;6;11.5;1.3;5.62;9.79
J37;23/05/2021;Strasbourg;Lorient;D;2.9;2.2;5.1;2.79;02.09;4.69
