Parieur:Saison:Bankroll:Gain brut:Gain moyen:Total des mises:Bénéfice:ROC:ROI:Journée d'arrêt:Victoires:Défaites:Effectués:Pari domicile:Pari nul:Pari extérieur
JetSetteur:1:288,22:3383,82:8,77:3332,6:51,22:21,61:1,54::87:293:380:77:122:181
JetSetteur:2:1746,05:4841,65:8,77:3332,6:1509,05:636,73:45,28::110:270:380:136:124:120
JetSetteur:3:1982,67:5078,27:8,77:3332,6:1745,67:736,57:52,38::126:254:380:125:134:121
JetSetteur:4:2362,58:5458,18:8,77:3332,6:2125,58:896,87:63,78::117:263:380:123:134:123
JetSetteur:5:2753,11:5848,71:8,77:3332,6:2516,11:1061,65:75,5::130:250:380:134:122:124
