Parieur:Saison:Bankroll:Gain brut:Gain moyen:Total des mises:Bénéfice:ROC:ROI:Journée d'arrêt:Victoires:Défaites:Effectués:Pari domicile:Pari nul:Pari extérieur
Technicien:1:581,76:1554,51:220,87:1209,75:344,76:145,47:28,5:J2:7:8:15:3:6:6
Technicien:2:2039,03:14000,1:2659,67:12198,07:1802,03:760,35:14,77:J6:4:8:12:4:2:6
Technicien:3:-342,85:732,33:146,56:1312,17:-579,85:-244,66:-44,19:J33:3:8:11:4:3:4
Technicien:4:3331,76:10521,39:1088,03:7426,62:3094,76:1305,81:41,67:J19:3:8:11:1:7:3
Technicien:5:-367,29:33,24:8,77:637,53:-604,29:-254,98:-94,79:J1:1:6:7:2:2:3
