Parieur:Saison:Bankroll:Gain brut:Gain moyen:Total des mises:Bénéfice:ROC:ROI:Journée d'arrêt:Victoires:Défaites:Effectués:Pari domicile:Pari nul:Pari extérieur
Frileux:1:213,5:178,21:8,77:201,71:-23,5:-9,92:-11,65::17:6:23:18:0:5
Frileux:2:121,67:86,38:8,77:201,71:-115,33:-48,66:-57,17::8:15:23:6:9:8
Frileux:3:140:104,71:8,77:201,71:-97:-40,93:-48,09::10:13:23:9:7:7
Frileux:4:97,47:62,18:8,77:201,71:-139,53:-58,87:-69,17::6:17:23:5:8:10
Frileux:5:108,78:73,49:8,77:201,71:-128,22:-54,1:-63,57::7:16:23:7:9:7
