Parieur:Saison:Bankroll:Gain brut:Gain moyen:Total des mises:Bénéfice:ROC:ROI:Journée d'arrêt:Victoires:Défaites:Effectués:Pari domicile:Pari nul:Pari extérieur
Chauvin:1:280,76:377,02:8,77:333,26:43,76:18,47:13,13::12:26:38:19:0:19
Chauvin:2:262,26:358,52:8,77:333,26:25,26:10,66:7,58::12:26:38:19:0:19
Chauvin:3:248,58:344,84:8,77:333,26:11,58:4,88:3,47::12:26:38:19:0:19
Chauvin:4:192,01:288,27:8,77:333,26:-44,99:-18,98:-13,5::12:26:38:19:0:19
Chauvin:5:259,71:355,97:8,77:333,26:22,71:9,58:6,82::12:26:38:19:0:19
